"ProfID","x","y","clay_0_30","sand_0_30","silt_0_30"
"6753",-58.310315,-37.823923,231.8677008,430,338.1322992
"6754",-58.359239,-37.766988,266.9341754,420,313.0658246
"6903",-58.178084,-37.522664,344.4605486,320,335.5394514
"6916",-58.120825,-37.576859,229.2764037,410,360.7235963
"6923",-58.126832,-37.640833,256.4483563,400,343.5516437
"6947",-58.009011,-37.528806,351.8490047,300,348.1509953
"6948",-58.035155,-37.62661,229.3536916,410,360.6463084
"6950",-58.033561,-37.627038,229.3536916,410,360.6463084
"7002",-60.428093,-36.636722,259.6889549,370,370.3110451
"7092",-58.007499,-37.528841,357.9749076,290,352.0250924
"7093",-58.010279,-37.52838,351.8490047,300,348.1509953
"7094",-58.008111,-37.529313,357.9749076,290,352.0250924
"7123",-61.089923,-36.731201,243.0295414,410,346.9704586
"7124",-61.115153,-36.786269,259.3615777,410,330.6384223
"7125",-61.122648,-36.820767,224.3671663,420,355.6328337
"7127",-58.474874,-37.463898,300.1206528,390,309.8793472
"7136",-60.607197,-36.767201,307.5331174,360,332.4668826
"7145",-60.459493,-36.762199,232.579905,440,327.420095
"7153",-60.448949,-36.742647,220.0546344,450,329.9453656
"7154",-60.396951,-36.808029,288.7069626,400,311.2930374
"7155",-60.394567,-36.809557,288.4846369,400,311.5153631
"7156",-60.32452,-36.807205,251.9529936,410,338.0470064
"7157",-60.325179,-36.804254,267.077817,410,322.922183
"7158",-60.301125,-36.678959,235.1171478,380,384.8828522
"7159",-60.289899,-36.737814,264.5885447,390,345.4114553
"7161",-60.292273,-36.735848,250.2485598,400,349.7514402
"7162",-60.287415,-36.68835,278.1697249,360,361.8302751
"7163",-60.393354,-36.77185,309.3001724,370,320.6998276
"7164",-60.474249,-36.678335,305.0155342,330,364.9844658
"7166",-60.240701,-36.688226,226.140886,380,393.859114
"7172",-60.150473,-36.814455,219.5757459,430,350.4242541
"7174",-59.126851,-37.222919,282.6698007,380,337.3301993
"7176",-59.15838,-37.208086,257.9946431,400,342.0053569
"7207",-60.283587,-36.843467,227.6860682,420,352.3139318
"7208",-60.395176,-36.850846,252.5568716,420,327.4431284
"7209",-60.391893,-36.852688,260.5861349,410,329.4138651
"7211",-60.428301,-36.93612,189.7073239,430,380.2926761
"7219",-60.347501,-36.947354,195.2152026,420,384.7847974
"7223",-60.143742,-36.970595,256.6632753,410,333.3367247
"7224",-60.108615,-36.917107,273.2016341,400,326.7983659
"7226",-60.029179,-36.877202,294.917419,370,335.082581
"7228",-60.085863,-36.915249,269.6661043,400,330.3338957
"7329",-61.490169,-37.039876,255.9131401,410,334.0868599
"7330",-61.487522,-37.074795,261.7421037,400,338.2578963
"7337",-61.403337,-37.10149,214.4179933,440,345.5820067
"7338",-61.114607,-37.069003,227.7458166,400,372.2541834
"7339",-61.104961,-37.067607,226.6265772,390,383.3734228
"7340",-61.102156,-37.048162,213.5367259,410,376.4632741
"7341",-61.226563,-37.156723,184.2354748,380,435.7645252
"7342",-61.238996,-37.144895,215.6647003,350,434.3352997
"7343",-61.308953,-37.179076,160.3019399,420,419.6980601
"7344",-61.307165,-37.180941,167.0090715,430,402.9909285
"7345",-61.303338,-37.174861,209.0676951,410,380.9323049
"7346",-61.275502,-37.290898,194.7373196,410,395.2626804
"7349",-61.117346,-37.188369,190.1391063,370,439.8608937
"7350",-61.108003,-37.313377,200.519416,400,399.480584
"7351",-60.441533,-37.016359,231.6887569,380,388.3112431
"7352",-60.442142,-37.017493,234.3773137,380,385.6226863
"7354",-60.432843,-37.008724,250.7659659,370,379.2340341
"7355",-60.454967,-37.027609,279.0542186,330,390.9457814
"7356",-60.458657,-37.028736,231.1503693,380,388.8496307
"7360",-60.399355,-37.131434,247.4205946,330,422.5794054
"7363",-60.310961,-37.13923,235.4965974,350,414.5034026
"7364",-60.493166,-37.00984,327.8963107,290,382.1036893
"7365",-60.170122,-37.113277,211.8240918,420,368.1759082
"7368",-60.248348,-37.023644,229.1691973,430,340.8308027
"7376",-60.147112,-37.28758,257.3179203,400,342.6820797
"7378",-60.146141,-37.289071,289.6197208,370,340.3802792
"7379",-60.465723,-37.285146,260.745879,410,329.254121
"7382",-60.186951,-37.317651,233.4820048,410,356.5179952
"7383",-60.190396,-37.31719,200.5136864,440,359.4863136
"7385",-60.07863,-37.290373,248.3881708,420,331.6118292
"7386",-60.129082,-37.307234,274.1836855,410,315.8163145
"7388",-60.247597,-37.225804,246.9463138,390,363.0536862
"7389",-60.4517,-37.287135,303.856221,370,326.143779
"7390",-60.302303,-37.27099,236.8230584,380,383.1769416
"7392",-60.404415,-37.189563,228.4724261,350,421.5275739
"7394",-60.432994,-37.201254,182.8574353,380,437.1425647
"7395",-60.320538,-37.244187,216.8826104,390,393.1173896
"7420",-59.4297,-37.217766,269.3437268,410,320.6562732
"7423",-59.439137,-37.271515,308.9271094,360,331.0728906
"7424",-59.069051,-37.323576,230.7304549,460,309.2695451
"7426",-59.33689,-37.280895,239.5875277,420,340.4124723
"7434",-59.208726,-37.262393,282.2128818,400,317.7871182
"7435",-59.016976,-37.314387,262.3249208,430,307.6750792
"7436",-59.01738,-37.304976,220.4373291,450,329.5626709
"7437",-59.242202,-37.171807,258.8493078,390,351.1506922
"7439",-59.331453,-37.251502,281.5458459,400,318.4541541
"7440",-59.200987,-37.07977,275.4529426,370,354.5470574
"7441",-59.237883,-37.009414,272.5159,390,337.4841
"7442",-59.224751,-37.021845,282.4167371,360,357.5832629
"7443",-59.221128,-37.055555,276.7333963,380,343.2666037
"7444",-59.180696,-37.132287,318.8321432,350,331.1678568
"7447",-59.286226,-37.14909,327.0790965,360,312.9209035
"7448",-59.036432,-37.104751,311.0323773,360,328.9676227
"7451",-59.36927,-37.016975,253.4911846,400,346.5088154
"7455",-59.417532,-37.128106,294.1865894,370,335.8134106
"7456",-59.317093,-37.040892,283.1081216,370,346.8918784
"7457",-59.288652,-37.076562,286.7893372,380,333.2106628
"7458",-59.36581,-37.136185,297.3148903,380,322.6851097
"7459",-59.325464,-37.111892,261.1506762,410,328.8493238
"7687",-58.914,-37.271722,292.7569646,370,337.2430354
"7833",-58.8262,-37.3313,269.8020684,400,330.1979316
"7882",-58.9687,-37.2236,236.8432201,390,373.1567799
"7907",-58.509,-37.9909,264.6886593,420,315.3113407
"7922",-58.684028,-37.9717,258.1258322,420,321.8741678
"7933",-58.637397,-37.924117,295.6222096,390,314.3777904
"7937",-58.698531,-37.857533,278.3289065,390,331.6710935
"7941",-58.7481,-37.989617,238.3643534,430,331.6356466
"7955",-58.719653,-37.974256,248.9285252,440,311.0714748
"7965",-58.559758,-37.680572,296.2756528,390,313.7243472
"7973",-58.581411,-37.747133,197.855955,460,342.144045
"7978",-58.506944,-37.822778,234.836522,420,345.163478
"7981",-58.60795,-37.808336,283.2818707,370,346.7181293
"7986",-58.737225,-37.676722,271.1646077,410,318.8353923
"7987",-58.749203,-37.742956,253.6616939,420,326.3383061
"7988",-58.63385,-37.723864,210.63129,430,359.36871
"7993",-58.735536,-37.808547,206.5226679,450,343.4773321
"7994",-58.658336,-37.688478,238.5575531,420,341.4424469
"8000",-58.523358,-37.761358,183.1590764,490,326.8409236
"8006",-58.701992,-37.562422,268.3658906,410,321.6341094
"8012",-58.502694,-37.561128,310.0000465,370,319.9999535
"8021",-58.662981,-37.656461,230.1727082,430,339.8272918
"8023",-58.750431,-37.588953,254.7159196,430,315.2840804
"8025",-58.592578,-37.83405,211.6557643,440,348.3442357
"8026",-58.6711,-37.932753,297.0418628,390,312.9581372
"8027",-58.597139,-37.944128,226.0212741,420,353.9787259
"8067",-58.610833,-38.160278,264.9744826,420,315.0255174
"8069",-58.533333,-38.021111,232.8785929,460,307.1214071
"8070",-58.524167,-38.011667,266.8554833,420,313.1445167
"8075",-58.713611,-38.139722,260.1978776,410,329.8021224
"8083",-58.607778,-38.194722,278.1802973,410,311.8197027
"8093",-58.553889,-38.2225,262.589893,420,317.410107
"8099",-58.680833,-38.070556,245.5724998,430,324.4275002
"8122",-58.646389,-38.276111,254.8896002,440,305.1103998
"8128",-58.529722,-38.268056,275.6808289,410,314.3191711
