LabID,x,y,om,ph,p_bray,k,tn
553,-60.9991944444445,-38.6932777777778,3.3012585370886036,6.37,9.14018691588785,652.32379979571,-1.5496014070590345
554,-59.302,-38.5524194444444,4.656652836995753,6.21,9.228142076502731,1103.0109588363348,-1.4809084618556714
561,-60.0534111111111,-37.8954694444444,4.395413478864171,5.99,9.80191256830601,591.6810558084306,-1.4941483736026249
562,-60.14485,-38.0467805555556,4.433093112191878,6.28,12.096994535519126,606.1526568375222,-1.4922387263600179
566,-61.2895111111111,-37.2615555555556,3.76657467918492,7.08,5.010928961748634,982.84243886022,-1.5260186487034384
572,-60.8234722222222,-38.2268611111111,3.628217749407983,6.64,13.940845070422537,820.4940339124975,-1.5330307373600927
578,-59.2969111111111,-38.0819388888889,3.93582393812816,6.85,4.159836065573771,707.4538640411637,-1.5174409012014058
586,-61.5522194444444,-37.3624611111111,4.294928940250779,6.53,17.611341632088518,557.5050000000001,-1.4992410458273995
587,-61.4674694444445,-37.1276,1.9756881720430115,6.46,14.87743732590529,638.3001458380076,-1.616782840871702
589,-60.6942,-37.5250194444444,4.526283656029393,6.5,8.276190476190475,400.01691850567306,-1.4875157221967714
596,-61.3548805555556,-37.5792388888889,4.699040481490663,6.15,13.932226832641769,474.6300000000001,-1.478760207181155
597,-61.0830305555556,-37.5999694444444,4.245676746868827,6.6,6.847619047619048,495.2037156144864,-1.501737203750864
615,-60.81975,-36.9350888888889,5.78691602594656,6.67,10.250336473755048,727.8464017185822,-1.4236254208178754
618,-59.04335,-38.5280111111111,3.0994809928259297,6.69,4.467289719626169,745.1560818083962,-1.5598277255497162
619,-58.8159,-38.4776111111111,4.758403811533927,6.18,10.261682242990654,358.52911133810005,-1.4757516051986688
620,-59.0868805555556,-38.2915611111111,4.474136354282433,6.36,8.859813084112151,799.1073372254104,-1.4901586075487703
623,-60.5032805555556,-36.7208805555556,5.539993667600953,6.34,10.815612382234184,695.0714824133399,-1.4361397305154164
625,-60.38825,-37.0084444444444,4.149070555361493,6.45,11.757738896366083,555.1601423487544,-1.5066333168745312
627,-60.4814111111111,-36.8982805555556,5.161510308319044,6.75,14.019337016574587,470.57493680224815,-1.4553217033636998
630,-60.6541111111111,-38.6028888888889,2.292819041408518,6.36,12.757746478873242,595.7549836509763,-1.6007102829207707
640,-61.2042222222222,-37.8466388888889,3.286980503324213,6.85,11.67323943661972,784.7760100481477,-1.550325034265565
