ProfID,x,y,ph_0_30,k_0_30,soc_0_30,bd_0_30,cec_0_30,p_0_30,n_0_30,clay_0_30,sand_0_30,silt_0_30
2816,-59.351091,-38.497836,8.235984102336772,1088.862058784523,1.1956845822351196,1.4852350309094007,25.152779067640445,NA,NA,28.26557329,44,27.73442671
2817,-59.238684,-38.354139,6.121409405332777,1102.9972295414516,2.7012373441778665,1.2152124844792878,26.734162219489036,NA,NA,27.032115270000002,40,32.967884729999994
2818,-59.175369,-38.432637,7.4,938.3039999999999,2.43,1.2548213498797893,38.3,NA,NA,17.568964450000003,51,31.43103555
2819,-59.375287,-38.608621,5.6103135479736475,1167.0983661894443,3.1082073369461924,1.1653116541559612,NA,NA,NA,20.609530330000002,53,26.390469669999998
2820,-58.584368,-38.454193,6.023066950289794,939.7097981592062,3.833098950338166,1.09595794379258,25.84921433822127,NA,NA,25.78034169,38,36.21965831
2821,-58.990394,-38.653059,7.775201786144788,685.6123080150506,1.7013503471778595,1.3873414442679648,16.803774776644744,NA,NA,12.98436633,72,15.01563367
2822,-58.918788,-38.620616,5.7389177046241056,846.0903834273446,3.462520877338018,1.1199367222856897,23.644261569364847,NA,NA,22.50021358,53,24.49978642
2823,NA,NA,8.388544698239114,170.90885492547847,0.31801871123261893,1.6838395373719173,2.9486070690145123,NA,NA,NA,NA,NA
2824,-59.783611,-38.794167,5.832491286967903,727.1628990263424,3.262768382326415,1.177986463742763,20.07739284840518,NA,NA,100,0,0
2825,-59.870278,-38.688889,6.3363905966017,656.7096473560742,1.0030964669635594,1.5203858707278592,17.60899525800805,NA,NA,20.0654332,55,24.9345668
2826,-59.975,-38.707778,7.296488419206638,481.2090351966411,1.3111771575238222,1.4547218173808791,14.492498256232361,NA,NA,21.11899382,47,31.881006180000004
2827,-59.661111,-38.768611,7.630280531451107,273.69399100849444,1.4741770072438052,1.4218550927206055,13.31909379474201,NA,NA,23.27846762,44,32.72153238
2828,-59.36891,-38.702336,5.24808486816696,1100.8779995986365,3.7436739441830635,1.0819168514128692,26.51482305456871,NA,NA,21.57617314,52,26.423826860000002
2891,-57.919167,-38.143333,6.636795558596471,309.2535660678007,2.401989509543844,1.2872535743005582,17.402137372617418,NA,NA,25.37920679,38,36.62079321
2892,-61.076031,-37.207754,6.7863572555950205,1106.4439742047712,1.732322014452172,1.3801466003324157,18.709593746378783,NA,NA,24.042698469999998,34,41.95730153
2911,-60.642322,-37.470622,6.545639083498477,901.6201120767115,2.5462273437371183,1.2449145266599089,21.965911032180497,NA,NA,19.76384754,42,38.23615246
2948,-60.818033,-37.576014,6.595163206887472,663.6721286479351,2.1238981477942653,1.3098039075337793,22.970172729552733,NA,NA,25.382614240000002,40,34.617385760000005
2979,-61.636028,-38.487528,6.488457978198827,NA,1.417266433350902,1.2730242529379678,17.181149683954843,NA,NA,NA,NA,NA
3026,-60.93525,-38.205278,6.874367462286555,NA,1.955328176619655,1.3119545315837657,18.792885857955977,NA,NA,NA,NA,NA
3027,-60.483667,-37.532389,7.260941644562334,NA,1.5599535809018565,1.2069628647214854,16.35192307692308,NA,NA,NA,NA,NA
3029,-60.340167,-36.9815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3172,-60.203889,-36.837722,9.563857615894038,219.6519979783897,0.75,1.4289848379226209,13.667106134541651,NA,NA,NA,NA,NA
3175,-59.367167,-37.497806,6.72,254.12399999999997,1.11,1.25,13,NA,NA,NA,NA,NA
3204,-59.201222,-37.262417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6180,-60.426332,-36.968591,9.68062601133754,1037.1639486414176,0.97721413359207,1.5213417634069206,43.33885563442484,NA,NA,20.949673920000002,41,38.050326080000005
6181,-60.416225,-36.976493,9.367257328781925,325.7468000832157,2.778150486917167,1.2332580669587236,44.334898816365346,NA,NA,21.07599113,41,37.92400887
6182,-60.428667,-36.936824,6.401586102719034,546.5171963746222,3.0385271903323265,1.1697194510201931,22.185196374622357,NA,NA,21.59407014,40,38.40592986
